Hz,CpED4,DED4,CpDE4,DDE4,CpED2,DED2,CpDE2,DDE2,CpSED,DSED,CpSDE,DSDE,CpFMF,DFMF,CpFMS,DFMS,CpFMRF,DFMRF,CpFMRS,DFMRS,CpSMF,DSMF,CpSMS,DSMS,CpTMF,DTMF,CpTMS,DTMS,CpTMRF,DTMRF,CpTMRS,DTMRS
300,-3.91E-07,4.58E+01,-2.25E-06,1.19E+00,3.17E-07,1.84E+01,-1.42E-08,3.73E+01,5.18E-10,3.08E+01,-2.81E-07,6.28E+01,8.12E-09,1.58E+01,1.02E-07,5.16E+01,-1.79E-10,6.74E-02,-4.57E-09,6.88E-01,1.26E-06,2.58E-01,1.96E-08,1.06E+00,-1.06E-09,1.04E-01,-2.19E-06,9.75E-01,-3.63E-10,9.63E-01,-2.03E-08,3.26E-01
400,2.81E-07,1.70E+01,-1.45E-06,1.15E+00,6.77E-08,1.88E+01,1.05E-07,1.18E+01,1.15E-09,3.62E+01,6.91E-08,5.93E+01,8.88E-09,1.43E+01,-5.30E-08,7.47E+01,-7.80E-10,2.36E-01,-8.10E-10,1.40E+01,2.75E-06,4.48E-01,1.09E-09,9.71E-02,-6.63E-09,1.07E+00,5.63E-07,8.43E-01,3.94E-09,2.73E+00,-1.82E-07,5.38E-01
400,3.78E-07,1.27E+01,-8.52E-08,4.49E+01,6.61E-08,1.92E+01,1.12E-07,1.11E+01,1.13E-09,3.70E+01,6.88E-08,5.97E+01,5.63E-09,2.27E+01,1.51E-07,2.66E+01,-4.45E-09,6.62E-01,-2.49E-07,4.76E-01,5.18E-06,9.67E-02,-3.32E-07,3.29E-01,-3.60E-08,8.93E-02,-1.73E-06,7.93E-01,1.59E-08,7.46E-01,1.63E-06,6.86E-02
400,2.78E-07,1.70E+01,-9.25E-06,5.38E-01,6.55E-08,1.93E+01,1.18E-07,1.05E+01,1.26E-09,3.33E+01,7.64E-08,5.37E+01,5.07E-09,2.00E+01,-5.50E-08,7.05E+01,1.65E-06,1.42E+00,4.05E-06,5.45E-01,8.73E-09,5.24E-01,-5.46E-08,6.48E-01,6.29E-07,3.28E-01,2.87E-06,3.63E-02,-1.73E-08,2.27E-01,2.26E-06,1.45E+00
400,2.86E-07,1.66E+01,-3.08E-07,1.13E+00,6.54E-08,1.94E+01,1.14E-07,1.09E+01,9.55E-10,4.38E+01,7.94E-08,5.17E+01,4.24E-09,2.40E+01,1.62E-07,2.47E+01,4.84E-07,6.48E-01,3.74E-06,2.37E+00,3.11E-07,4.29E-02,-3.10E-06,1.14E+00,1.16E-06,2.37E+00,1.24E-07,1.02E-01,2.64E-08,1.83E+00,-2.68E-06,2.61E-02
400,3.37E-07,1.40E+01,-3.35E-06,2.38E-01,6.46E-08,1.96E+01,1.17E-07,1.05E+01,8.87E-10,4.72E+01,8.19E-08,5.01E+01,7.87E-09,1.29E+01,-1.06E-07,3.63E+01,1.08E-05,2.50E-01,1.63E-06,6.16E-01,-1.61E-06,9.01E-01,1.14E-05,1.06E+00,3.00E-06,5.28E-02,2.82E-10,3.23E-01,-4.08E-07,2.14E-01,2.69E-07,4.84E+00
400,3.00E-07,1.58E+01,-8.24E-07,1.18E+00,6.35E-08,2.01E+01,1.03E-07,1.19E+01,9.31E-10,4.45E+01,8.54E-08,4.81E+01,3.15E-09,3.23E+01,1.15E-07,3.49E+01,1.59E-06,2.45E-01,-1.28E-06,1.36E-01,2.87E-06,3.60E-01,7.68E-06,1.57E+00,-1.01E-06,9.27E-01,-6.19E-08,7.92E-01,2.76E-07,1.73E+00,6.57E-06,1.55E-01
400,3.13E-07,1.51E+01,3.01E-07,3.35E+00,6.37E-08,1.99E+01,7.50E-08,1.62E+01,1.15E-09,3.54E+01,8.74E-08,4.70E+01,5.17E-09,1.99E+01,8.52E-08,4.58E+01,2.65E-06,3.24E+00,-6.02E-06,3.00E-01,-3.42E-07,1.09E-01,1.01E-05,2.45E-01,-1.02E-06,3.79E+00,1.65E-07,4.34E-02,4.07E-06,2.35E-01,-2.14E-06,5.16E+00
500,9.96E-07,4.03E+00,5.34E-07,1.41E+00,8.74E-08,1.15E+01,1.55E-07,6.21E+00,1.86E-07,1.87E+01,3.16E-07,1.06E+01,6.32E-09,1.59E+01,2.75E-07,1.12E+01,3.17E-06,3.81E-01,3.47E-06,9.56E-02,-7.43E-07,6.80E-01,8.03E-06,4.17E-01,-1.27E-07,4.35E-02,4.75E-08,1.82E-01,2.26E-10,3.64E-01,1.75E-06,5.44E+00
500,1.12E-06,3.45E+00,5.79E-07,1.33E+00,8.64E-08,1.16E+01,1.73E-07,5.60E+00,2.26E-07,1.52E+01,3.16E-07,1.06E+01,1.19E-08,7.00E+00,3.83E-07,8.35E+00,-7.83E-11,1.58E-01,2.24E-06,2.89E-01,4.63E-06,1.70E+01,-6.33E-11,3.35E-01,-2.70E-06,4.45E-01,-3.37E-08,3.70E-01,8.74E-11,6.68E-01,-8.56E-08,3.58E-02
