Hz,CpED4,DED4,CpDE4,DDE4,CpED2,DED2,CpDE2,DDE2,CpSED,DSED,CpSDE,DSDE,CpFMF,DFMF,CpFMS,DFMS,CpFMRF,DFMRF,CpFMRS,DFMRS,CpSMF,DSMF,CpSMS,DSMS,CpTMF,DTMF,CpTMS,DTMS,CpTMRF,DTMRF,CpTMRS,DTMRS
2000,3.02E-04,2.95E-01,3.03E-07,9.04E-01,7.84E-08,3.46E+00,1.32E-07,1.94E+00,2.15E-04,2.71E-01,1.94E-04,3.00E-01,5.32E-08,5.06E+00,1.85E-04,3.17E-01,1.89E-10,1.01E+00,-4.49E-08,4.85E+00,4.20E-11,6.45E-01,1.87E-07,7.47E-01,-6.77E-08,4.30E-01,5.30E-07,6.97E-01,8.95E-13,4.42E+00,-6.88E-08,1.92E-01
2000,2.66E-04,3.02E-01,3.36E-07,8.08E-01,5.07E-08,5.29E+00,1.28E-07,2.02E+00,2.02E-04,2.94E-01,1.94E-04,2.97E-01,4.63E-08,5.86E+00,2.00E-04,2.94E-01,-7.64E-09,1.33E-01,-1.18E-08,2.27E-01,1.88E-11,3.41E-01,-5.34E-06,3.62E-02,-2.66E-09,2.03E+00,-6.87E-08,2.09E-01,-1.15E-11,1.14E+00,-6.77E-08,3.91E-01
2000,2.96E-04,3.26E-01,3.53E-07,7.62E-01,4.56E-08,5.86E+00,9.20E-08,2.67E+00,2.11E-04,2.80E-01,1.82E-04,3.16E-01,4.86E-08,4.31E+00,2.16E-04,2.74E-01,-2.50E-09,2.50E-01,3.54E-07,1.80E+00,3.13E-09,8.71E-01,1.58E-06,1.21E+00,-7.74E-07,6.17E-01,-8.75E-08,1.18E-01,-5.24E-11,1.90E-01,-3.21E-09,4.07E-01
2000,2.71E-04,3.01E-01,3.55E-07,6.32E-01,4.49E-08,5.97E+00,8.74E-08,2.82E+00,1.85E-04,3.23E-01,1.91E-04,3.00E-01,3.13E-08,6.68E+00,2.04E-04,2.87E-01,1.57E-09,7.88E-01,4.32E-06,3.86E-01,-4.13E-11,2.16E-01,-7.20E-10,5.18E-03,-1.16E-08,9.60E+01,-1.47E-07,3.27E-02,4.64E-11,3.48E-03,-2.46E-09,7.61E-01
2000,2.95E-04,3.01E-01,4.20E-07,5.83E-01,2.01E-08,1.32E+01,8.65E-08,2.87E+00,2.14E-04,2.76E-01,1.92E-04,2.97E-01,5.66E-09,3.69E+01,2.02E-04,2.94E-01,1.15E-08,1.48E+00,-2.12E-07,1.29E-01,8.25E-11,1.99E-02,1.58E-08,1.56E-02,1.93E-06,9.09E-01,-3.54E-08,2.72E+01,-3.54E-11,2.40E-01,4.13E-07,9.99E-02
2000,2.96E-04,3.25E-01,3.35E-07,7.50E-01,6.96E-08,3.93E+00,8.51E-08,2.90E+00,1.84E-04,3.25E-01,1.87E-04,3.07E-01,2.93E-08,7.11E+00,1.96E-04,3.00E-01,4.26E-06,6.49E-02,-1.06E-07,1.86E-01,-1.84E-10,2.10E-01,-1.04E-08,6.38E-01,-3.49E-07,1.73E-01,-4.65E-06,2.47E-01,1.21E-10,2.49E-01,-1.79E-07,1.98E-01
2000,3.10E-04,3.01E-01,3.80E-07,7.10E-01,1.01E-08,2.64E+01,1.17E-07,2.11E+00,2.16E-04,2.79E-01,1.94E-04,3.02E-01,3.79E-08,5.48E+00,1.91E-04,3.01E-01,-1.49E-10,4.49E-01,3.05E-06,5.66E-01,-1.03E-10,7.95E-01,-4.33E-06,4.28E-01,1.71E-06,5.23E-01,-1.31E-07,1.40E-01,-2.76E-10,5.16E-01,-9.13E-08,1.13E-01
2500,2.29E-04,1.54E-01,1.25E-07,1.57E+00,1.90E-08,1.11E+01,6.26E-08,3.49E+00,1.62E-04,1.54E-01,1.57E-04,1.67E-01,1.92E-08,8.98E+00,1.64E-04,1.49E-01,-3.82E-09,7.93E-03,-4.71E-08,3.94E-02,1.44E-11,3.01E-01,-8.10E-08,1.80E-01,8.98E-07,2.33E+00,-8.13E-08,1.16E-01,6.36E-10,3.30E-01,1.17E-07,4.85E-01
2500,2.19E-04,1.53E-01,1.50E-07,1.36E+00,9.01E-09,2.31E+01,3.92E-08,5.60E+00,1.61E-04,1.55E-01,1.58E-04,1.65E-01,1.27E-08,1.51E+01,1.63E-04,1.54E-01,-3.88E-08,5.80E-01,-2.19E-08,4.11E-01,-1.85E-11,1.37E-01,-3.18E-08,1.71E-03,-2.84E-08,3.80E-02,-9.37E-08,2.76E-02,4.52E-10,5.60E-03,-1.18E-07,8.69E-01
2500,2.27E-04,1.55E-01,1.92E-05,2.08E-01,2.35E-08,8.90E+00,3.14E-08,7.01E+00,1.62E-04,1.52E-01,1.60E-04,1.67E-01,2.96E-08,6.40E+00,1.63E-04,1.51E-01,5.31E-07,4.73E-01,-1.01E-06,6.45E-01,-1.48E-11,1.97E-01,7.83E-07,9.94E-01,-1.28E-08,1.62E-01,-8.24E-08,1.64E-01,-6.99E-11,3.92E-01,1.06E-07,5.35E-01
2500,1.83E-04,1.91E-01,8.91E-05,1.60E-01,2.17E-08,9.68E+00,4.24E-09,5.16E+01,1.63E-04,1.53E-01,1.64E-04,1.51E-01,1.27E-08,1.50E+01,1.61E-04,1.49E-01,2.25E-06,3.05E-01,1.42E-08,2.49E-01,-5.56E-11,2.28E-01,2.67E-06,3.71E-01,-2.02E-08,2.29E-01,-2.85E-07,3.51E-01,-1.20E-10,1.85E-01,1.14E-07,6.99E-01
2500,1.86E-04,1.54E-01,8.71E-05,1.41E-01,2.34E-08,8.93E+00,5.49E-08,4.00E+00,1.55E-04,1.67E-01,1.57E-04,1.67E-01,2.60E-09,7.02E+01,1.62E-04,1.57E-01,-8.44E-08,5.37E-01,-8.20E-09,3.21E-02,-7.46E-11,7.67E-02,9.76E-09,1.03E+00,3.54E-10,5.50E-01,-7.01E-08,2.91E-01,3.36E-10,2.21E-02,-1.46E-07,3.57E-01
3000,1.55E-04,1.47E-01,6.83E-05,1.24E-01,4.81E-08,3.93E+00,5.00E-08,3.68E+00,1.37E-04,1.44E-01,1.38E-04,1.40E-01,2.52E-08,5.08E+00,1.38E-04,1.40E-01,2.71E-07,1.86E+00,6.04E-08,1.58E+01,4.13E-11,4.53E-01,-9.79E-09,3.65E-02,2.40E-08,9.55E-01,-3.11E-08,2.05E+00,3.65E-09,2.69E-01,6.21E-07,3.44E+00
3000,1.51E-04,1.41E-01,6.66E-05,1.40E-01,2.03E-08,9.43E+00,4.75E-08,3.93E+00,1.36E-04,1.41E-01,1.38E-04,1.42E-01,2.86E-08,4.34E+00,1.37E-04,1.41E-01,2.55E-08,1.04E+00,-1.38E-08,3.44E-01,-1.46E-09,5.85E-02,-5.37E-08,5.21E-01,3.02E-07,6.95E-01,-5.43E-08,3.92E-01,5.21E-08,6.49E-01,9.53E-07,6.65E-01
3000,1.54E-04,1.40E-01,9.72E-05,1.33E-01,5.52E-08,3.40E+00,4.70E-08,3.96E+00,1.35E-04,1.43E-01,1.32E-04,1.58E-01,1.19E-09,1.07E+02,1.38E-04,1.38E-01,-4.01E-10,4.93E-01,-1.02E-08,1.91E-01,5.27E-11,4.53E-02,-5.59E-09,5.88E-01,4.68E-07,1.53E+00,5.10E-06,2.24E-02,-1.71E-08,5.44E-02,3.76E-07,2.46E+00
3000,1.67E-04,1.42E-01,8.49E-05,1.32E-01,3.45E-08,5.47E+00,2.87E-08,6.50E+00,1.35E-04,1.44E-01,1.37E-04,1.46E-01,3.23E-09,3.96E+01,1.32E-04,1.57E-01,1.40E-09,2.06E-03,1.78E-06,6.20E-01,2.39E-11,3.91E-01,-7.83E-09,1.21E-01,-8.37E-08,1.11E-01,3.64E-07,2.78E+00,-9.27E-10,2.09E-01,-1.63E-08,1.37E-01
3000,1.38E-04,1.42E-01,9.88E-05,1.36E-01,2.79E-08,6.76E+00,4.70E-08,3.93E+00,1.35E-04,1.60E-01,1.38E-04,1.43E-01,1.05E-09,1.22E+02,1.32E-04,1.58E-01,5.35E-09,2.06E+00,1.25E-07,3.24E-01,1.14E-11,4.34E-01,5.99E-07,1.23E+00,-9.94E-09,1.14E-01,-1.01E-06,6.68E-01,3.22E-10,8.38E-01,-1.01E-06,3.14E+00
4000,1.18E-04,1.37E-01,7.21E-05,1.28E-01,3.51E-09,3.52E+01,2.89E-08,4.66E+00,1.03E-04,1.42E-01,1.10E-04,1.43E-01,5.02E-09,2.56E+01,1.04E-04,1.38E-01,-3.71E-08,1.95E+00,-3.12E-08,1.08E+00,-3.75E-12,3.63E+00,-5.05E-09,3.95E-01,1.30E-08,1.07E+01,-1.10E-07,2.11E-01,-5.20E-11,5.74E-01,-6.16E-06,5.76E-02
4000,1.02E-04,1.40E-01,7.51E-05,1.32E-01,-7.52E-09,1.75E+01,1.40E-08,1.04E+01,1.01E-04,1.51E-01,1.10E-04,1.37E-01,2.46E-08,5.21E+00,1.10E-04,1.40E-01,-8.82E-07,5.69E-01,-8.62E-08,9.04E-01,-6.51E-12,5.66E-01,-1.89E-09,3.21E-01,4.40E-06,1.25E-02,-1.91E-07,1.27E-01,-1.45E-09,1.89E+00,8.10E-08,1.93E+00
4000,1.24E-04,1.42E-01,1.03E-04,1.36E-01,3.72E-08,3.54E+00,3.75E-08,3.75E+00,1.08E-04,1.37E-01,1.09E-04,1.34E-01,5.04E-10,2.57E+02,1.07E-04,1.60E-01,-3.09E-08,1.13E+00,1.54E-07,8.54E-01,3.23E-12,1.00E+00,-1.76E-09,1.46E-01,-3.77E-08,4.23E-01,-3.57E-08,4.53E-01,-4.93E-08,1.46E+00,-3.17E-09,5.74E-02
4000,1.20E-04,1.45E-01,1.04E-04,1.40E-01,4.01E-08,3.17E+00,3.10E-08,4.51E+00,1.09E-04,1.44E-01,1.05E-04,1.39E-01,9.36E-09,1.07E+01,1.04E-04,1.43E-01,-6.50E-08,1.03E-01,-2.68E-06,2.03E-01,1.29E-11,1.48E-01,-1.95E-09,1.58E-01,-1.78E-08,3.37E-01,-6.15E-08,1.95E-01,8.25E-07,5.20E-01,-5.97E-09,3.14E-02
4000,1.05E-04,1.60E-01,1.23E-04,1.38E-01,1.27E-08,9.66E+00,3.26E-08,4.46E+00,1.03E-04,1.48E-01,1.05E-04,1.40E-01,6.44E-09,1.56E+01,1.10E-04,1.40E-01,8.48E-08,2.08E+00,1.97E-06,3.70E-01,1.53E-11,3.96E-01,-1.15E-06,4.55E-01,5.52E-06,1.74E-02,-8.09E-08,1.21E+00,3.57E-07,5.84E-01,-3.86E-08,1.85E-02
4000,1.08E-04,1.38E-01,1.74E-04,1.43E-01,4.08E-08,3.13E+00,3.12E-08,4.49E+00,1.03E-04,1.50E-01,1.06E-04,1.36E-01,-1.35E-09,7.47E+01,8.85E-05,1.36E-01,2.98E-06,2.04E-01,-6.26E-09,1.22E-01,5.82E-12,1.44E-02,-8.43E-08,1.04E+00,-6.91E-08,1.80E-01,3.07E-06,1.95E-01,-4.78E-07,1.13E+00,-1.62E-09,2.81E+00
4000,1.06E-04,1.62E-01,1.99E-04,1.44E-01,1.16E-08,1.09E+01,3.12E-08,4.35E+00,1.03E-04,1.41E-01,8.86E-05,1.36E-01,4.25E-09,2.38E+01,1.03E-04,1.41E-01,-6.00E-08,7.15E-03,-4.24E-09,1.53E-01,3.69E-11,2.76E-01,-6.80E-07,7.10E-01,-2.06E-08,2.17E-01,-8.29E-09,2.73E-01,-3.31E-06,5.37E-02,-1.77E-08,3.09E-02
4000,1.30E-04,1.43E-01,2.66E-04,1.45E-01,2.32E-08,5.48E+00,1.75E-08,8.04E+00,9.87E-05,1.65E-01,1.05E-04,1.43E-01,3.33E-09,3.01E+01,1.06E-04,1.38E-01,-5.63E-08,2.17E-02,-9.01E-09,1.65E-01,-7.52E-11,5.64E-01,1.05E-05,9.92E-02,3.86E-06,9.46E-03,-1.59E-07,4.93E-02,1.16E-07,1.08E+00,3.69E-09,4.07E-01
5000,8.16E-05,2.04E-01,1.07E-04,2.16E-01,4.45E-09,2.25E+01,1.99E-09,5.18E+01,7.39E-05,2.17E-01,7.50E-05,2.12E-01,1.74E-08,5.86E+00,7.46E-05,2.07E-01,-4.15E-07,8.84E-01,-1.10E-06,3.74E-01,3.82E-09,2.53E-01,3.82E-07,1.83E+00,-3.94E-07,1.75E+00,-1.84E-07,8.59E-01,8.75E-07,4.71E-01,2.83E-09,8.20E+00
5000,8.21E-05,2.08E-01,1.64E-04,2.26E-01,8.35E-10,1.20E+02,2.61E-08,3.93E+00,7.40E-05,2.09E-01,7.51E-05,2.08E-01,1.95E-08,4.99E+00,7.47E-05,2.09E-01,-2.59E-08,5.21E-01,-2.19E-09,1.86E-01,2.51E-10,5.47E-01,1.82E-06,2.69E-01,6.51E-08,4.93E-01,-5.19E-08,6.78E-02,-4.65E-07,2.12E+00,1.94E-09,9.86E+00
5000,8.11E-05,2.11E-01,1.60E-04,2.10E-01,-3.78E-09,2.65E+01,2.40E-08,4.31E+00,7.44E-05,2.08E-01,7.45E-05,2.15E-01,1.52E-08,6.46E+00,7.38E-05,2.17E-01,-3.63E-08,6.70E-01,-1.89E-07,6.64E-01,2.60E-10,5.68E-01,3.21E-08,2.22E-02,-1.39E-06,3.67E-01,-2.56E-08,5.18E-01,-9.02E-08,2.00E-01,-9.93E-09,1.83E+00
5000,8.41E-05,2.10E-01,1.62E-04,2.34E-01,5.70E-10,1.75E+02,2.61E-08,3.94E+00,7.44E-05,2.10E-01,7.46E-05,2.09E-01,1.49E-08,6.54E+00,7.37E-05,2.16E-01,-2.45E-08,2.59E+00,1.13E-07,7.98E-01,-9.81E-11,2.27E-01,3.52E-09,3.20E+00,5.23E-08,6.99E-01,-1.54E-07,1.08E+00,2.94E-06,6.55E-02,2.78E-09,7.45E+00
5000,8.24E-05,2.10E-01,9.77E-05,2.11E-01,6.37E-10,1.57E+02,2.99E-08,3.43E+00,7.41E-05,2.15E-01,7.49E-05,2.09E-01,7.73E-09,1.25E+01,7.40E-05,2.15E-01,-1.67E-08,1.29E-02,-2.48E-08,5.63E-01,2.95E-11,2.48E-01,-3.21E-08,1.45E+00,2.04E-08,3.58E-01,-5.53E-08,1.76E-01,-1.00E-07,1.23E+00,-2.78E-09,1.25E-01
5000,7.73E-05,2.01E-01,9.63E-05,2.02E-01,1.68E-09,5.94E+01,3.35E-08,3.05E+00,7.42E-05,2.12E-01,7.50E-05,2.05E-01,8.19E-09,8.03E+00,7.48E-05,2.17E-01,3.51E-07,1.27E+00,-3.68E-08,3.41E-01,-2.75E-11,1.58E-01,5.65E-09,1.11E-01,-2.52E-06,2.52E-02,-5.04E-07,7.47E-01,8.80E-09,1.76E+00,-2.23E-09,1.69E-01
6000,5.37E-05,5.89E-01,4.82E-05,6.07E-01,3.18E-08,2.98E+00,5.80E-09,1.55E+01,4.57E-05,5.99E-01,4.94E-05,5.63E-01,6.46E-09,1.00E+01,4.86E-05,5.72E-01,-2.29E-06,8.09E-01,1.71E-06,3.13E-01,1.19E-11,1.09E+00,5.57E-09,1.84E-01,1.99E-06,1.87E-01,9.63E-07,5.10E-01,3.70E-07,8.94E-01,-1.04E-09,4.37E-01
6000,7.05E-05,4.61E-01,4.89E-05,5.86E-01,3.59E-08,2.79E+00,1.42E-08,6.38E+00,4.49E-05,6.09E-01,4.86E-05,5.73E-01,8.77E-09,7.60E+00,1.02E-04,3.29E-01,-2.52E-08,2.77E-01,-1.41E-07,8.21E+01,1.39E-11,6.83E-01,5.62E-09,2.58E+00,6.69E-08,3.53E-01,-1.95E-07,1.87E+00,1.67E-06,1.20E+00,-1.21E-09,3.52E-01
6000,5.19E-05,5.72E-01,5.65E-05,5.77E-01,2.09E-08,4.59E+00,3.54E-08,2.69E+00,2.00E-04,5.50E-02,5.73E-05,1.63E+00,6.52E-09,1.01E+01,1.28E-04,7.16E-01,-3.63E-09,4.37E-01,-1.04E-06,4.00E-01,-1.09E-11,4.23E-01,-2.88E-08,2.48E-01,-1.21E-08,2.42E+00,2.62E-06,1.96E-01,1.95E-07,2.31E-01,-9.01E-10,4.56E-01
6000,5.20E-05,5.70E-01,1.58E-05,5.30E-01,1.44E-08,6.62E+00,4.72E-09,1.94E+01,6.79E-05,4.50E-01,4.95E-05,5.59E-01,1.13E-08,6.00E+00,4.67E-05,5.95E-01,3.40E-07,1.00E+00,-2.46E-09,7.06E-01,4.68E-12,1.08E+00,-6.90E-08,1.74E-01,-1.48E-05,7.71E-01,-2.00E-06,1.95E-01,5.12E-07,7.50E-01,-1.45E-09,2.86E-01
7500,-1.90E-05,6.13E-01,1.16E-05,1.29E+00,6.93E-10,1.11E+02,1.34E-08,6.36E+00,-1.35E-05,7.51E-01,-9.55E-06,1.23E+00,5.29E-09,1.22E+01,-9.55E-06,1.25E+00,-1.39E-07,1.51E+00,1.70E-09,1.35E+00,1.83E-10,2.74E-01,2.01E-09,5.92E+00,1.12E-07,4.69E-02,3.52E-06,3.40E-02,-6.58E-08,3.45E-01,5.98E-10,1.45E+00
7500,-1.37E-05,7.56E-01,2.33E-07,1.09E+01,-9.38E-09,7.67E+00,2.59E-09,2.76E+01,-1.41E-05,7.24E-01,-9.99E-06,1.18E+00,-5.56E-09,9.42E+00,-9.78E-06,1.22E+00,-7.38E-08,1.50E-01,1.09E-06,2.50E-01,-4.36E-12,3.73E+00,-3.10E-08,4.96E-01,1.17E-09,2.93E+00,2.96E-06,1.20E-02,6.06E-09,8.74E-01,-7.40E-09,1.53E+00
7500,-1.44E-05,7.21E-01,2.94E-07,7.46E+00,-1.50E-09,5.03E+01,2.97E-08,2.28E+00,-1.32E-05,8.03E-01,-9.57E-06,1.22E+00,-1.32E-08,4.16E+00,-9.78E-06,1.19E+00,-4.12E-09,2.92E+00,1.12E-10,2.65E+01,1.38E-12,1.03E+00,-4.02E-09,2.82E+00,7.25E-10,3.64E+00,-1.09E-09,1.68E+01,-1.24E-07,8.49E-01,-8.88E-09,1.13E+00
7500,-1.43E-05,7.21E-01,2.98E-07,8.32E+00,-3.48E-09,2.18E+01,-3.83E-08,1.80E+00,-1.38E-05,7.26E-01,-9.92E-06,1.19E+00,-1.00E-08,5.62E+00,-1.03E-05,1.10E+00,-3.20E-07,3.23E-01,6.46E-07,5.02E-01,-2.14E-10,2.48E-01,7.93E-08,3.10E-01,-1.37E-07,2.98E+00,-5.62E-08,2.02E-01,-1.03E-06,8.68E-02,-5.67E-11,3.19E+00
7500,-1.43E-05,7.40E-01,2.63E-07,9.88E+00,-2.74E-09,2.73E+01,-3.26E-09,2.08E+01,-1.41E-05,7.18E-01,-9.85E-06,1.21E+00,-9.95E-09,5.30E+00,-1.01E-05,1.13E+00,-2.79E-07,6.50E-01,2.20E-09,1.44E+00,-5.40E-12,6.49E-01,-6.65E-08,2.36E-01,-5.48E-07,8.93E-01,-5.99E-08,1.92E-01,-1.30E-06,1.21E-02,-1.92E-06,2.41E-01
7500,-1.93E-05,5.90E-01,2.90E-07,8.92E+00,-7.31E-09,1.00E+01,-6.87E-08,1.14E+00,-1.36E-05,7.55E-01,-9.84E-06,1.19E+00,-1.44E-08,3.87E+00,-9.40E-06,1.26E+00,-3.99E-10,7.84E+01,-1.88E-06,2.99E-02,5.54E-12,1.28E+00,2.02E-06,4.17E-01,-5.14E-11,1.09E+03,1.98E-08,4.64E-01,6.38E-07,3.55E-01,-3.59E-09,1.41E+00
10000,-8.02E-06,4.35E-01,3.00E-06,5.97E-02,-5.77E-09,8.99E+00,-3.58E-09,1.43E+01,-8.94E-06,4.18E-01,-9.32E-06,3.99E-01,-1.10E-08,5.22E+00,-9.54E-06,3.85E-01,2.25E-07,4.42E+00,3.77E-07,5.41E-01,8.13E-10,5.40E-01,-1.35E-07,5.74E+00,2.78E-08,2.56E-01,-9.39E-08,2.44E-01,-2.73E-08,2.36E+00,-2.55E-13,1.75E+01
10000,-7.76E-06,4.57E-01,-1.10E-08,4.99E+00,-1.44E-08,3.96E+00,-1.77E-08,3.21E+00,-8.92E-06,4.08E-01,-9.29E-06,4.03E-01,-6.88E-09,7.57E+00,-9.31E-06,3.97E-01,-1.89E-08,1.13E+00,2.86E-09,7.45E-01,5.01E-12,3.01E+00,3.08E-08,1.72E-01,2.70E-08,2.20E-01,-4.44E-08,2.49E-01,1.17E-08,7.74E-01,-7.66E-13,8.99E+00
10000,-8.01E-06,4.63E-01,6.03E-09,8.20E+00,-7.05E-09,7.56E+00,-5.00E-09,1.02E+01,-9.17E-06,4.09E-01,-9.20E-06,4.02E-01,-6.48E-09,8.14E+00,-9.36E-06,3.92E-01,2.41E-09,9.69E-01,-2.90E-08,7.08E-01,-1.18E-09,3.16E-01,-1.01E-07,3.73E-01,3.53E-08,3.86E+00,-3.34E-07,3.80E-01,1.07E-08,7.93E-01,-5.35E-12,1.32E+01
10000,-9.18E-06,4.11E-01,1.04E-08,4.40E+00,-1.26E-08,4.47E+00,-2.15E-08,2.66E+00,-9.14E-06,4.04E-01,-1.02E-05,3.76E-01,-3.09E-09,1.34E+01,-8.63E-06,4.17E-01,3.07E-08,2.83E-01,6.90E-12,8.45E-02,2.33E-11,6.35E-01,-1.37E-08,1.22E+00,-1.96E-08,4.16E+00,1.28E-07,7.86E-02,2.45E-09,4.43E+00,3.15E-11,6.83E-01
10000,-8.82E-06,4.23E-01,-8.72E-09,6.44E+00,-1.22E-08,4.65E+00,-1.99E-09,2.54E+01,-9.23E-06,4.10E-01,-9.34E-06,3.98E-01,4.17E-09,9.62E+00,-8.58E-06,4.20E-01,-9.04E-07,3.82E-01,-1.24E-11,1.21E+00,9.24E-12,7.94E-01,-2.24E-08,8.55E-01,-2.35E-08,7.78E-01,-2.89E-08,5.39E-01,1.02E-11,1.21E+00,8.72E-12,1.69E+00
10000,-8.97E-06,4.33E-01,1.25E-08,4.00E+00,-1.29E-08,4.40E+00,-1.50E-08,3.65E+00,-8.84E-06,4.39E-01,-9.21E-06,4.00E-01,-1.63E-10,2.52E+02,-8.42E-06,4.21E-01,-4.47E-08,1.23E+00,5.25E-12,3.53E+00,5.05E-12,1.48E+00,1.18E-10,3.07E-01,1.03E-08,4.63E-01,-3.31E-08,2.01E+00,-3.93E-11,9.36E-01,5.71E-12,2.42E-01
10000,-7.85E-06,4.55E-01,5.84E-09,8.78E+00,-8.27E-09,6.48E+00,-2.20E-08,2.59E+00,-8.04E-06,4.37E-01,-1.03E-05,3.71E-01,-3.86E-09,1.14E+01,-9.38E-06,3.95E-01,-7.86E-09,3.11E+00,1.16E-11,1.26E+00,8.22E-12,5.85E-01,-1.64E-10,1.16E+00,2.45E-08,3.47E-01,-5.22E-08,6.28E-01,-1.06E-09,1.31E+00,7.56E-12,9.80E-01
10000,-7.46E-06,4.71E-01,1.21E-09,4.28E+01,-8.90E-09,6.05E+00,-2.19E-08,2.62E+00,-8.16E-06,4.43E-01,-9.16E-06,4.02E-01,8.40E-11,4.89E+02,-9.65E-06,3.90E-01,-1.67E-08,1.26E+00,1.64E-11,6.66E-01,2.67E-11,4.03E-01,-1.16E-09,1.38E+00,1.06E-07,1.87E-01,-1.75E-09,8.16E+00,2.16E-09,9.20E-01,-2.12E-12,4.58E-01
12000,-1.85E-05,2.84E-01,3.42E-08,9.36E-01,-6.27E-09,7.18E+00,-1.34E-09,2.99E+01,-1.28E-05,4.18E-01,-1.72E-05,3.31E-01,-6.05E-09,5.51E+00,-1.35E-05,3.87E-01,1.06E-09,8.05E-01,-1.25E-12,2.47E+00,-1.24E-11,2.82E-01,-9.38E-09,6.55E-01,-1.66E-08,1.15E+00,-1.18E-07,2.88E-01,-2.14E-07,5.94E-01,-1.45E-11,1.18E+00
12000,-1.04E-05,4.68E-01,6.52E-08,4.04E-01,-4.45E-09,9.63E+00,6.46E-09,6.07E+00,-1.32E-05,4.25E-01,-1.76E-05,3.19E-01,-1.77E-09,1.89E+01,-1.44E-05,3.73E-01,5.44E-08,2.47E-01,4.58E-12,7.48E-01,-4.96E-11,3.43E-01,1.87E-08,6.70E-02,9.65E-10,1.10E+00,-6.97E-10,7.61E-01,-5.22E-10,1.18E+00,-8.17E-13,1.44E+00
12000,-1.20E-05,4.23E-01,8.24E-08,4.17E-01,-4.07E-09,1.03E+01,5.65E-09,7.17E+00,-1.31E-05,4.05E-01,-1.60E-05,3.43E-01,-9.20E-09,3.42E+00,-1.43E-05,3.78E-01,-1.71E-08,1.05E+00,-5.04E-12,2.13E+00,-4.14E-11,2.86E+00,-1.88E-08,9.26E-01,1.10E-09,8.35E-01,6.23E-11,4.48E-01,-6.36E-10,8.63E-01,1.02E-12,9.06E-01
12000,-1.11E-05,4.55E-01,7.33E-08,5.12E-01,-1.29E-09,3.29E+01,-4.83E-10,8.29E+01,-1.27E-05,4.16E-01,-1.56E-05,3.53E-01,8.94E-09,3.43E+00,-1.37E-05,3.96E-01,-1.88E-08,9.32E-01,2.41E-12,8.27E-02,1.75E-11,9.30E+00,1.54E-08,1.89E+01,1.38E-08,7.58E-01,-8.18E-10,6.62E-01,5.26E-10,5.20E-01,-3.08E-12,1.46E-01
12000,-1.86E-05,2.84E-01,9.26E-08,3.78E-01,2.67E-09,1.57E+01,1.04E-09,3.90E+01,-1.24E-05,4.20E-01,-1.64E-05,3.41E-01,2.01E-08,1.65E+00,-1.45E-05,3.79E-01,1.30E-09,6.68E-01,-1.11E-12,8.67E-01,1.35E-09,6.84E-01,7.39E-09,7.80E-01,-5.37E-10,1.09E+00,1.73E-09,3.93E-01,-1.25E-08,4.64E-01,-6.75E-12,1.63E+00
15000,-5.48E-05,1.41E-01,8.13E-07,1.44E-01,-1.84E-08,1.81E+00,4.77E-09,6.64E+00,-6.54E-05,1.55E-01,-6.12E-05,1.41E-01,4.62E-09,7.56E+00,-6.40E-05,1.34E-01,-5.08E-11,1.23E+00,-2.54E-13,1.21E+00,-2.94E-12,5.15E-01,2.62E-11,3.39E-01,1.78E-12,1.88E-01,1.73E-09,1.29E+00,-2.40E-08,6.64E-01,-5.10E-10,1.10E+00
15000,-5.78E-05,1.31E-01,9.99E-07,6.47E-02,-1.71E-08,1.85E+00,-7.99E-09,3.78E+00,-6.73E-05,1.33E-01,-6.17E-05,1.40E-01,-1.95E-08,9.15E-01,-6.62E-05,1.26E-01,9.55E-12,8.13E-02,2.19E-12,8.60E-02,-1.07E-12,1.42E-01,-4.60E-12,3.16E-01,-4.85E-10,8.13E-01,-9.45E-10,3.12E-01,5.37E-10,2.30E-01,9.37E-11,1.50E-01
15000,-5.80E-05,1.25E-01,1.23E-06,3.81E-02,-1.84E-08,1.79E+00,-7.27E-09,4.84E+00,-6.54E-05,1.47E-01,-6.09E-05,1.62E-01,5.05E-08,3.35E-01,-6.33E-05,1.42E-01,-3.11E-12,5.69E-01,4.29E-12,4.47E-01,-3.04E-12,2.37E-01,-2.57E-12,1.28E+00,2.09E-10,1.93E-01,1.46E-12,3.60E-01,-1.41E-08,8.83E-01,-9.56E-14,1.75E+00
15000,-5.63E-05,1.39E-01,1.45E-06,2.97E-01,-1.34E-08,2.40E+00,-1.88E-10,1.62E+02,-6.63E-05,1.29E-01,-6.52E-05,1.43E-01,-3.64E-09,5.21E+00,-6.56E-05,1.30E-01,-1.27E-12,2.74E-01,-8.86E-12,5.06E-01,1.67E-11,8.02E-02,3.08E-10,2.86E+00,-1.76E-11,1.13E+02,-1.31E-12,5.50E-01,-1.24E-07,4.57E-01,5.22E-13,4.90E-01
